ElectricalSubstation,Station
Embryology,AnatomicalStructure
Employer,Agent
EmployersOrganisation,Organisation
Engine,Device
Engineer,Person
Entomologist,Scientist
Enzyme,Biomolecule
Escalator,On-SiteTransportation
EthnicGroup,root
Eukaryote,Species
EurovisionSongContestEntry,Song
Event,root
Factory,Building
Family,Agent
Farmer,Person
Fashion,TopicalConcept
FashionDesigner,Artist
Fencer,Athlete
Fern,Plant
FictionalCharacter,Person
FieldHockeyLeague,SportsLeague
FigureSkater,WinterSportPlayer
File,Document
FillingStation,Station
Film,Work
FilmFestival,SocietalEvent
Fish,Animal
Flag,root
FloweringPlant,Plant
Food,root
FootballLeagueSeason,SportsTeamSeason
FootballMatch,SportsEvent
FormerMunicipality,Municipality
FormulaOneRacer,RacingDriver
FormulaOneRacing,SportsLeague
FormulaOneTeam,SportsTeam
Fungus,Eukaryote
GaelicGamesPlayer,Athlete
Galaxy,CelestialBody
Game,Activity
Garden,Place
Gate,ArchitecturalStructure
GatedCommunity,PopulatedPlace
Gene,Biomolecule
GeneLocation,root
Genre,TopicalConcept
GeologicalPeriod,TimePeriod
GeopoliticalOrganisation,Organisation
Ginkgo,Plant
GivenName,Name
Glacier,NaturalPlace
Globularswarm,Swarm
Gnetophytes,Plant
GolfCourse,SportFacility
GolfLeague,SportsLeague
GolfPlayer,Athlete
GolfTournament,Tournament
GovernmentAgency,Organisation
GovernmentType,Type
GovernmentalAdministrativeRegion,AdministrativeRegion
Governor,Politician
GrandPrix,SportsEvent
Grape,FloweringPlant
GraveMonument,Monument
GreenAlga,Plant
GridironFootballPlayer,Athlete
GrossDomesticProduct,root
GrossDomesticProductPerCapita,root
Group,Organisation
Guitar,Instrument
Guitarist,Instrumentalist
Gymnast,Athlete
HandballLeague,SportsLeague
HandballPlayer,Athlete
HandballTeam,SportsTeam
HighDiver,Athlete
Historian,Writer
HistoricBuilding,Building
HistoricPlace,Place
HistoricalCountry,Country
HistoricalDistrict,District
HistoricalPeriod,TimePeriod
HistoricalProvince,Province
HistoricalRegion,Region
HistoricalSettlement,Settlement
HockeyClub,SportsClub
